Station name,Entries and exits - Full price tickets, Entries and exits - Reduced price tickets,Entries and exits - Season tickets,Entries and exits - All tickets,"Entries and exits
Rank",Interchanges,Main origin or destination station,National Location Code (NLC),"Three Letter Code
(TLC)",Region,Station facility owner
Abbey Wood,2318430,3470332,1329902,7118664,52,0,Tottenham Court Road,5131,ABW,London,Elizabeth line
Aber,77490,3548,22938,103976,1611,0,Cardiff Central,3813,ABE,Wales,TfW Rail
Abercynon,106686,3854,24340,134880,1473,15581,Cardiff Central,3801,ACY,Wales,TfW Rail
Aberdare,161382,10902,54430,226714,1186,0,Cardiff Central,3982,ABA,Wales,TfW Rail
Aberdeen,487274,1383410,90730,1961414,243,179272,Edinburgh,8976,ABD,Scotland,ScotRail
Aberdour,28576,47162,3214,78952,1744,0,Edinburgh,9090,AUR,Scotland,ScotRail
Aberdovey,24642,9566,0,34208,2071,0,Tywyn,4435,AVY,Wales,TfW Rail
Abererch,1564,476,0,2040,2468,0,Pwllheli,4440,ABH,Wales,TfW Rail
Abergavenny,169398,129348,60778,359524,920,0,Hereford,3602,AGV,Wales,TfW Rail
Abergele and Pensarn,41230,36848,3904,81982,1726,0,Chester,2448,AGL,Wales,TfW Rail
Aberystwyth,103522,136146,1898,241566,1143,0,Borth,4303,AYW,Wales,TfW Rail
Accrington,118656,284020,56940,459616,821,0,Blackburn,2552,ACR,North West,Northern Trains
Achanalt,232,50,0,282,2558,0,Dingwall,8600,AAT,Scotland,ScotRail
Achnasheen,1992,1246,64,3302,2437,0,Inverness,8601,ACN,Scotland,ScotRail
Achnashellach,430,322,0,752,2526,0,Inverness,8602,ACH,Scotland,ScotRail
Acklington,346,88,0,434,2548,0,Newcastle,7662,ACK,North East,Northern Trains
Acle,12910,24112,3650,40672,2019,0,Norwich,7286,ACL,East of England,Greater Anglia
Acocks Green,99164,127648,78094,304906,1008,0,Birmingham Moor Street,4529,ACG,West Midlands,West Midlands Trains (West Midlands Railway)
Acton Bridge (Cheshire),17686,12724,2630,33040,2083,0,Liverpool Lime Street,2287,ACB,North West,West Midlands Trains (London Northwestern Railway)
Acton Central,514242,748324,236470,1499036,305,0,Richmond (London),1404,ACC,London,London Overground
Acton Main Line,340190,602452,157062,1099704,410,0,London Paddington,3000,AML,London,Elizabeth line
Adderley Park,59056,37140,23850,120046,1527,0,Birmingham New Street,1036,ADD,West Midlands,West Midlands Trains (West Midlands Railway)
Addiewell,6648,6894,1024,14566,2267,0,Edinburgh,9310,ADW,Scotland,ScotRail
Addlestone,108918,111918,50848,271684,1071,0,London Waterloo,5550,ASN,South East,South Western Railway
Adisham,6356,9290,7824,23470,2177,0,Canterbury East,5160,ADM,South East,Southeastern
Adlington (Cheshire),7118,10274,1390,18782,2224,0,Manchester Piccadilly,2939,ADC,North West,Northern Trains
Adlington (Lancashire),30058,62794,12188,105040,1605,0,Manchester Piccadilly,2641,ADL,North West,Northern Trains
Adwick,51206,51822,18176,121204,1520,0,Doncaster,8353,AWK,Yorkshire and The Humber,Northern Trains
Aigburth,135174,286910,144934,567018,701,0,Liverpool Central,2255,AIG,North West,Merseyrail
Ainsdale,171718,580394,168514,920626,490,0,Southport,2350,ANS,North West,Merseyrail
Aintree,189054,440238,212370,841662,526,0,Liverpool Central,2125,AIN,North West,Merseyrail
Airbles,27468,40642,11390,79500,1742,0,Glasgow Central,9695,AIR,Scotland,ScotRail
Airdrie,196716,341584,94498,632798,647,0,Glasgow Queen Street,9759,ADR,Scotland,ScotRail
Albany Park,286128,253588,82774,622490,657,0,London Bridge,5132,AYP,London,Southeastern
