"","TLC","Station_Name","Entries.and.exits...Full.price.tickets","Entries.and.exits...Reduced.price.tickets","Entries.and.exits...Season.tickets","Tickets_Sold","Rank_Tickets","Interchanges","Main_OD","NLC","Region","Station_Owner","TRUE.","FALSE.","Route_Name"
"1","AAP","Alexandra Palace",470546,709888,159616,1340050,339,43873,"Finsbury Park",6025,"London","Govia Thameslink Railway (Great Northern)",1,0,"Piccadilly Line"
"2","AAP","Alexandra Palace",470546,709888,159616,1340050,339,43873,"Finsbury Park",6025,"London","Govia Thameslink Railway (Great Northern)",1,0,"East Coast Main Line"
"3","AAP","Alexandra Palace",470546,709888,159616,1340050,339,43873,"Finsbury Park",6025,"London","Govia Thameslink Railway (Great Northern)",1,0,"Hertford Loop Line"
"4","AAT","Achanalt",232,50,0,282,2558,0,"Dingwall",8600,"Scotland","ScotRail",0,1,"Kyle of Lochalsh Line"
"5","ABA","Aberdare",161382,10902,54430,226714,1186,0,"Cardiff Central",3982,"Wales","TfW Rail",0,1,"Merthyr Line"
"6","ABC","Altnabreac",262,18,0,280,2559,0,"Thurso",8606,"Scotland","ScotRail",0,1,"Far North Line"
"7","ABD","Aberdeen",487274,1383410,90730,1961414,243,179272,"Edinburgh",8976,"Scotland","ScotRail",1,0,"Edinburgh to Aberdeen Line"
"8","ABD","Aberdeen",487274,1383410,90730,1961414,243,179272,"Edinburgh",8976,"Scotland","ScotRail",1,0,"East Coast (Northern) Line"
"9","ABD","Aberdeen",487274,1383410,90730,1961414,243,179272,"Edinburgh",8976,"Scotland","ScotRail",1,0,"Aberdeen to Inverness Line"
"10","ABD","Aberdeen",487274,1383410,90730,1961414,243,179272,"Edinburgh",8976,"Scotland","ScotRail",1,0,"Aberdeen and Inverness Line"
"11","ABE","Aber",77490,3548,22938,103976,1611,0,"Cardiff Central",3813,"Wales","TfW Rail",0,1,"Rhymney Line"
"12","ABH","Abererch",1564,476,0,2040,2468,0,"Pwllheli",4440,"Wales","TfW Rail",0,1,"Cambrian Line"
"13","ABW","Abbey Wood",2318430,3470332,1329902,7118664,52,0,"Tottenham Court Road",5131,"London","Elizabeth line",1,0,"North Kent Line"
"14","ABW","Abbey Wood",2318430,3470332,1329902,7118664,52,0,"Tottenham Court Road",5131,"London","Elizabeth line",1,0,"Elizabeth Line"
"15","ABY","Ashburys",32864,21416,11708,65988,1823,0,"Manchester Piccadilly",2941,"North West","Northern Trains",0,1,"Philips Park and Ashburys Branch"
"16","ABY","Ashburys",32864,21416,11708,65988,1823,0,"Manchester Piccadilly",2941,"North West","Northern Trains",0,1,"Hope Valley Line"
